statut_juridique,secteur_activite,taille,region,montant_financement
Coopérative,Tourisme,Start-up,Fès-Meknès,214667
Auto-entrepreneur,Tourisme,Start-up,Marrakech-Safi,191427
Coopérative,Tech,Start-up,Marrakech-Safi,314773
Coopérative,Tourisme,Start-up,Casablanca-Settat,227683
Auto-entrepreneur,Agriculture,TPE,Tanger-Tétouan,34806
Auto-entrepreneur,Commerce,Start-up,Casablanca-Settat,166688
Coopérative,Commerce,PME,Rabat-Salé-Kénitra,144408
Personne physique,Artisanat,PME,Casablanca-Settat,137435
Coopérative,Tourisme,Start-up,Casablanca-Settat,236144
Coopérative,Agriculture,Start-up,Fès-Meknès,150449
Coopérative,Artisanat,PME,Autre,91181
Coopérative,Tech,PME,Marrakech-Safi,156658
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,22743
Coopérative,Artisanat,PME,Casablanca-Settat,93874
Personne physique,Tourisme,PME,Tanger-Tétouan,132982
Auto-entrepreneur,Tech,Start-up,Autre,289122
Personne physique,Artisanat,PME,Autre,103087
Personne physique,Agriculture,TPE,Casablanca-Settat,48272
Personne physique,Agriculture,PME,Rabat-Salé-Kénitra,122245
Personne physique,Commerce,Start-up,Casablanca-Settat,219345
Auto-entrepreneur,Tech,Start-up,Fès-Meknès,252279
Auto-entrepreneur,Tech,PME,Marrakech-Safi,200770
Personne physique,Commerce,Start-up,Rabat-Salé-Kénitra,182080
Personne physique,Artisanat,TPE,Casablanca-Settat,44152
Auto-entrepreneur,Tech,TPE,Tanger-Tétouan,57762
Auto-entrepreneur,Agriculture,PME,Rabat-Salé-Kénitra,98325
Auto-entrepreneur,Agriculture,PME,Rabat-Salé-Kénitra,109882
Coopérative,Tourisme,PME,Casablanca-Settat,132937
Coopérative,Tech,Start-up,Rabat-Salé-Kénitra,380154
Coopérative,Artisanat,TPE,Tanger-Tétouan,36549
Personne physique,Commerce,TPE,Autre,37052
Coopérative,Commerce,Start-up,Rabat-Salé-Kénitra,182886
Personne physique,Artisanat,TPE,Autre,32664
Personne physique,Industrie,PME,Tanger-Tétouan,209690
Coopérative,Tourisme,PME,Casablanca-Settat,118182
Personne physique,Commerce,PME,Marrakech-Safi,133771
Coopérative,Tech,TPE,Rabat-Salé-Kénitra,69631
Coopérative,Tourisme,PME,Marrakech-Safi,132829
Auto-entrepreneur,Tech,Start-up,Tanger-Tétouan,238736
Coopérative,Agriculture,Start-up,Rabat-Salé-Kénitra,205316
Auto-entrepreneur,Tourisme,TPE,Autre,37701
Coopérative,Commerce,Start-up,Fès-Meknès,158408
Coopérative,Tourisme,Start-up,Marrakech-Safi,181241
Auto-entrepreneur,Tourisme,TPE,Rabat-Salé-Kénitra,44927
Auto-entrepreneur,Tourisme,PME,Marrakech-Safi,94218
Coopérative,Industrie,PME,Rabat-Salé-Kénitra,194212
Personne physique,Tourisme,PME,Casablanca-Settat,148041
Auto-entrepreneur,Tech,TPE,Autre,45304
Personne physique,Agriculture,Start-up,Marrakech-Safi,229660
Personne physique,Artisanat,PME,Fès-Meknès,97568
Personne physique,Tourisme,PME,Fès-Meknès,129010
Auto-entrepreneur,Commerce,TPE,Tanger-Tétouan,32086
Personne physique,Tourisme,PME,Rabat-Salé-Kénitra,147020
Auto-entrepreneur,Commerce,TPE,Marrakech-Safi,29424
Personne physique,Tech,Start-up,Tanger-Tétouan,334751
Coopérative,Commerce,TPE,Marrakech-Safi,45432
Coopérative,Artisanat,TPE,Rabat-Salé-Kénitra,29875
Auto-entrepreneur,Agriculture,TPE,Fès-Meknès,32306
Coopérative,Commerce,TPE,Casablanca-Settat,39133
Coopérative,Commerce,Start-up,Fès-Meknès,201562
Personne physique,Agriculture,Start-up,Tanger-Tétouan,170470
Auto-entrepreneur,Artisanat,PME,Autre,89807
Personne physique,Tourisme,Start-up,Casablanca-Settat,242925
Personne physique,Commerce,Start-up,Tanger-Tétouan,190064
Personne physique,Agriculture,PME,Rabat-Salé-Kénitra,104504
Personne physique,Tech,Start-up,Casablanca-Settat,334143
Personne physique,Agriculture,TPE,Tanger-Tétouan,40316
Personne physique,Tech,TPE,Rabat-Salé-Kénitra,68708
Personne physique,Artisanat,PME,Fès-Meknès,112872
Auto-entrepreneur,Tourisme,PME,Autre,94513
Coopérative,Agriculture,PME,Rabat-Salé-Kénitra,102002
Personne physique,Industrie,TPE,Marrakech-Safi,62811
Personne physique,Commerce,Start-up,Rabat-Salé-Kénitra,241580
Personne physique,Artisanat,TPE,Rabat-Salé-Kénitra,31856
Personne physique,Agriculture,PME,Autre,93641
Personne physique,Commerce,Start-up,Marrakech-Safi,173117
Personne physique,Agriculture,Start-up,Tanger-Tétouan,218912
Coopérative,Tech,TPE,Tanger-Tétouan,67128
Coopérative,Agriculture,PME,Rabat-Salé-Kénitra,112249
Personne physique,Industrie,TPE,Marrakech-Safi,68260
Coopérative,Agriculture,Start-up,Marrakech-Safi,202008
Auto-entrepreneur,Agriculture,TPE,Autre,29783
Personne physique,Industrie,TPE,Fès-Meknès,65397
Auto-entrepreneur,Artisanat,PME,Tanger-Tétouan,74116
Auto-entrepreneur,Agriculture,PME,Autre,72988
Personne physique,Industrie,Start-up,Casablanca-Settat,299607
Coopérative,Commerce,TPE,Tanger-Tétouan,31473
Auto-entrepreneur,Tech,TPE,Autre,51028
Personne physique,Tech,TPE,Tanger-Tétouan,82225
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,123992
Auto-entrepreneur,Artisanat,Start-up,Casablanca-Settat,130722
Auto-entrepreneur,Artisanat,PME,Fès-Meknès,78274
Auto-entrepreneur,Commerce,PME,Casablanca-Settat,131672
Coopérative,Agriculture,PME,Rabat-Salé-Kénitra,105061
Auto-entrepreneur,Tech,TPE,Autre,50546
Auto-entrepreneur,Artisanat,TPE,Casablanca-Settat,25152
Auto-entrepreneur,Agriculture,PME,Fès-Meknès,78372
Coopérative,Artisanat,TPE,Tanger-Tétouan,37632
Auto-entrepreneur,Industrie,PME,Casablanca-Settat,187870
Auto-entrepreneur,Artisanat,Start-up,Autre,101049
Coopérative,Tech,PME,Casablanca-Settat,245473
Coopérative,Tourisme,Start-up,Marrakech-Safi,213769
Coopérative,Commerce,TPE,Tanger-Tétouan,43879
Auto-entrepreneur,Commerce,PME,Autre,90138
Coopérative,Tech,TPE,Autre,57054
Coopérative,Artisanat,Start-up,Rabat-Salé-Kénitra,164637
Auto-entrepreneur,Agriculture,Start-up,Fès-Meknès,162145
Coopérative,Artisanat,Start-up,Rabat-Salé-Kénitra,141538
Auto-entrepreneur,Tech,TPE,Autre,40924
Personne physique,Commerce,TPE,Tanger-Tétouan,39235
Coopérative,Artisanat,TPE,Casablanca-Settat,37487
Personne physique,Commerce,TPE,Casablanca-Settat,41175
Auto-entrepreneur,Agriculture,Start-up,Tanger-Tétouan,171100
