statut_juridique,secteur_activite,taille,region,montant_financement
Coopérative,Industrie,Start-up,Fès-Meknès,285760
Auto-entrepreneur,Artisanat,Start-up,Fès-Meknès,132330
Coopérative,Commerce,TPE,Tanger-Tétouan,45064
Coopérative,Commerce,PME,Autre,84984
Auto-entrepreneur,Commerce,TPE,Marrakech-Safi,39862
Auto-entrepreneur,Tech,TPE,Casablanca-Settat,50525
Coopérative,Artisanat,PME,Tanger-Tétouan,96288
Personne physique,Tourisme,Start-up,Casablanca-Settat,286154
Coopérative,Industrie,TPE,Fès-Meknès,46431
Coopérative,Tourisme,Start-up,Tanger-Tétouan,200252
Coopérative,Tech,Start-up,Tanger-Tétouan,292865
Coopérative,Industrie,PME,Rabat-Salé-Kénitra,200864
Auto-entrepreneur,Commerce,PME,Fès-Meknès,109445
Coopérative,Agriculture,Start-up,Fès-Meknès,185296
Personne physique,Tech,TPE,Autre,65208
Auto-entrepreneur,Tech,Start-up,Tanger-Tétouan,315906
Personne physique,Artisanat,TPE,Fès-Meknès,31817
Personne physique,Tourisme,TPE,Tanger-Tétouan,44056
Personne physique,Tech,PME,Autre,206388
Personne physique,Tech,TPE,Autre,59415
Auto-entrepreneur,Commerce,TPE,Rabat-Salé-Kénitra,29473
Auto-entrepreneur,Commerce,Start-up,Tanger-Tétouan,141055
Personne physique,Industrie,PME,Fès-Meknès,144691
Personne physique,Agriculture,TPE,Fès-Meknès,43619
Auto-entrepreneur,Artisanat,TPE,Tanger-Tétouan,27689
Auto-entrepreneur,Agriculture,PME,Tanger-Tétouan,104175
Auto-entrepreneur,Industrie,Start-up,Tanger-Tétouan,229719
Coopérative,Commerce,PME,Marrakech-Safi,103675
Coopérative,Tourisme,PME,Fès-Meknès,108370
Coopérative,Commerce,TPE,Autre,38476
Personne physique,Artisanat,TPE,Fès-Meknès,34915
Coopérative,Commerce,Start-up,Marrakech-Safi,224729
Personne physique,Artisanat,TPE,Tanger-Tétouan,37516
Personne physique,Artisanat,TPE,Rabat-Salé-Kénitra,37782
Coopérative,Artisanat,PME,Tanger-Tétouan,98665
Personne physique,Industrie,TPE,Tanger-Tétouan,70617
Coopérative,Artisanat,Start-up,Marrakech-Safi,175657
Coopérative,Artisanat,PME,Fès-Meknès,72683
Auto-entrepreneur,Tourisme,Start-up,Tanger-Tétouan,182458
